slug,name,country,instagram,youtube,tiktok,x_twitter,spotify,apple_music,facebook,soundcloud,notes
alejandro-sanz,Alejandro Sanz,ES,https://www.instagram.com/alejandrosanz/,https://twitter.com/_vicentefdez,https://twitter.com/_vicentefdez,https://twitter.com/AlejandroSanz,https://twitter.com/_vicentefdez,https://itunes.apple.com/artist/id162036,https://www.facebook.com/ASanzOficial,,
beele,BeÃ©le,CO,https://www.instagram.com/beele,https://www.youtube.com/channel/UCYAQgXVSRzUeNo34-RJOWUw,www.tiktok.com/@beele,https://twitter.com/beelemusica,https://open.spotify.com/artist/7a0XAaPaK2aDSqa8p3QnC7,,https://www.facebook.com/beelemusica/,,
c-tangana,C. Tangana,ES,https://www.instagram.com/c.tangana/,https://www.youtube.com/channel/UCOZyjrZSrTJJHU05DlF71Jw,www.tiktok.com/@c.tangana,https://twitter.com/c_tangana,https://open.spotify.com/artist/5TYxZTjIPqKM8K8NuP9woO,https://itunes.apple.com/es/artist/id600574924,https://www.facebook.com/ctanganaoficial/,,
ca7riel-paco-amoroso,CA7RIEL & Paco Amoroso,AR,https://www.instagram.com/ca7rielypacoamoroso/,https://www.youtube.com/channel/UCysiER15Vj3gjdsNUN84uLA,www.tiktok.com/@ca7rielypacoamoroso,https://twitter.com/ca7rielypaco,https://open.spotify.com/artist/6I8TDGeUmmLom8auKPzMdX,,https://www.facebook.com/ca7rielypaco/,,
caetano-veloso,Caetano Veloso,BR,https://www.instagram.com/caetanoveloso/,https://www.youtube.com/channel/UCPcx7C0G024NtLNLODhu3VA,https://www.tiktok.com/@caetano_veloso,https://twitter.com/falacaetano,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ,https://itunes.apple.com/artist/id134260,https://www.facebook.com/FalaCaetano,,
camila,Camila,MX,https://www.instagram.com/CamilaMx/,https://www.youtube.com/channel/UCTbABe0xvBjIQeCMXU_R7fA,www.tiktok.com/@camila_mx,https://twitter.com/Camilamx,https://open.spotify.com/artist/2gRP1Ezbtj3qrERnd0XasU,https://itunes.apple.com/mx/artist/id152260603,https://www.facebook.com/Camilamusic,,
carlos-santana,Carlos Santana,MX,https://www.instagram.com/carlossantana,https://www.youtube.com/channel/UCI7pNDDat9jR8TjgF48aBDA,,,,,https://www.facebook.com/carlossantana,,
carlos-vives,Carlos Vives,CO,https://www.instagram.com/carlosvives/,https://www.youtube.com/channel/UCcoTDF00osWsjkiO3eC9viw,www.tiktok.com/@carlosvives,https://twitter.com/carlosvives,https://open.spotify.com/artist/4vhNDa5ycK0ST968ek7kRr,https://itunes.apple.com/co/artist/id554369,https://www.facebook.com/carlosvivesoficial/,,
charly-garcia,Charly GarcÃ­a,AR,https://www.instagram.com/charlygarcia/,https://www.youtube.com/channel/UCwdcsrSoGZLPNpRurWqySAA,https://www.tiktok.com/@charlysaynomore,https://twitter.com/charlygarciabg,https://open.spotify.com/artist/3jO7X5KupvwmWTHGtHgcgo,,https://www.facebook.com/Partedelareligion/,,
chayanne,Chayanne,PR,https://www.instagram.com/chayanne/,https://www.youtube.com/channel/UCltTIW3M5KliU-pu5nPaGUg,www.tiktok.com/@chayanne,https://twitter.com/chayannemusic,https://open.spotify.com/artist/1JbemQ1fPt2YmSLjAFhPBv,,https://www.facebook.com/CHAYANNE/,,
christina-aguilera,Christina Aguilera,US,https://www.instagram.com/xtina,https://www.youtube.com/channel/UCgBN6eQyZPnsApiL1QW44Hg,www.tiktok.com/@xtina,https://twitter.com/xtina,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS,https://itunes.apple.com/us/artist/id259398,https://www.facebook.com/christinaaguilera,,
darumas,DARUMAS,MULTI,https://www.instagram.com/darumasband/,https://www.youtube.com/@DARUMASVEVO,www.tiktok.com/@darumasband,,https://open.spotify.com/artist/3BtncWAC6RrQFca3UnvsS9,,https://www.facebook.com/profile.php?id=61552074323922,,
dennis,DENNIS,BR,https://www.instagram.com/dennisdj/,https://www.youtube.com/channel/UCrPMM16a2XymtrPJwFW4kAQ,https://www.tiktok.com/@dennisdjoficial,https://twitter.com/hs16bm,https://open.spotify.com/artist/6xlRSRMLgZbsSNd0BMobwy,,https://www.facebook.com/DJ-Dennis-Entertainment-123950110998187/,,
djavan,Djavan,BR,https://www.instagram.com/djavanoficial/,https://www.youtube.com/channel/UCQkUNXUhkm6KewHbDxK_g0g,www.tiktok.com/@djavan,https://twitter.com/djavanoficial,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA,https://itunes.apple.com/us/artist/id10416,https://www.facebook.com/Djavanoficial,,
emilia,Emilia,AR,https://www.instagram.com/emiliamernes/,https://www.youtube.com/channel/UC4osEqmcQL5d1UYJVft-klA,www.tiktok.com/@emiliamernes,https://twitter.com/SoyEmiliamusica,https://open.spotify.com/artist/0AqlFI0tz2DsEoJlKSIiT9,,https://www.facebook.com/tarlandemilia/,,
filipe-ret,Filipe Ret,BR,https://www.instagram.com/filiperet/,https://www.youtube.com/channel/UC9vsg8Lpxf2R8CjaLrd-R1g,www.tiktok.com/@filiperet,https://twitter.com/filiperet,https://open.spotify.com/artist/7gJN8W0589FisSYJS17K54,,https://www.facebook.com/FilipeRetOficial/,,
fito-paez,Fito PÃ¡ez,AR, https://www.instagram.com/fitopaezmusica/   , https://www.youtube.com/channel/UCnlr4LDiHnZCazpfuCT1czg   ,https://www.tiktok.com/@fitopaezmusica   ,https://twitter.com/fitopaezmusica , https://open.spotify.com/artist/1bZNv4q3OxYq7mmnLha7Tu ,, https://www.facebook.com/fitopaez,,
grupo-menos-e-mais,Grupo Menos Ã‰ Mais,BR,https://www.instagram.com/grupomenosemais/,https://www.youtube.com/channel/UCmkSzYG4ykYKFE4Ow0030zw,www.tiktok.com/@grupomenosemais,https://twitter.com/grupomenosemais,https://open.spotify.com/artist/6vTqEFbTtTRJsuIpzZgjxi,,https://www.facebook.com/menosemais,,
gusttavo-lima,Gusttavo Lima,BR,https://www.instagram.com/gusttavolima/,https://www.youtube.com/channel/UCXooz9whNJZBRTHi9AqdjPw,www.tiktok.com/@gusttavolima,https://twitter.com/gusttavo_lima,https://open.spotify.com/artist/7MiDcPa6UiV3In7lIM71IN,,https://www.facebook.com/gusttavolimaoficial,,
ha-ash,Ha*Ash,MX,https://www.instagram.com/haashoficial/,https://www.youtube.com/channel/UC6kb0evup3Kgbz0N067E9wA,www.tiktok.com/@haashoficial,https://twitter.com/haashoficial,https://open.spotify.com/artist/5xd2Tg7Zo8755eCy8Gxkp8,,https://www.facebook.com/haashoficial,,
jorge-drexler,Jorge Drexler,UY,https://www.instagram.com/drexlerjorge/,https://www.youtube.com/channel/UCh9gFyjZsmt_Fz3QXO_5fVA,https://www.tiktok.com/@jorgedrexler0,https://twitter.com/drexlerjorge,https://open.spotify.com/artist/4ssUf5gLb1GBLxi1BhPrVt,,https://www.facebook.com/JorgeDrexlerOficial,,
kany-garcia,Kany GarcÃ­a,PR,https://www.instagram.com/kanygarcia/,https://www.youtube.com/channel/UCc2ZilH94OFrGRaVKwh75tA,www.tiktok.com/@kanygarcia,https://twitter.com/kanygarcia,https://open.spotify.com/artist/69UypehHabb68utzfjAVlV,https://itunes.apple.com/us/artist/id251432197,https://www.facebook.com/kanygarcia/,,
kapo,Kapo,CO,https://www.instagram.com/yosoytukapo,https://www.youtube.com/channel/UCMuUGNq6D6FJXVss3yayfpQ,www.tiktok.com/@yosoytukapo,https://twitter.com/yosoytukapo,https://open.spotify.com/artist/3UTF2no3muGdiFXVujl94i,,https://www.facebook.com/kapooficial?mibextid=LQQJ4d,,
kenia-os,Kenia OS,MX,https://www.instagram.com/keniaos/,https://www.youtube.com/channel/UCSEY-xdBrV-J1zpLg9-mr6w,www.tiktok.com/@keniaos,https://twitter.com/keniaos,https://open.spotify.com/artist/31VFEohvhOUKrtAONEBhMG,,https://www.facebook.com/La-Kenini-620585684988775,,
luan-santana,Luan Santana,BR,https://www.instagram.com/luansantana/,https://www.youtube.com/channel/UC6rwiIxv0w2fbmmr66wl1rA,https://www.tiktok.com/@luansantana,https://twitter.com/luansantana,https://open.spotify.com/artist/3qvcCP2J0fWi0m0uQDUf6r,,https://www.facebook.com/luansantana,,
luck-ra,Luck Ra,AR,https://www.instagram.com/luckra/,https://www.youtube.com/channel/UC9KvDJG-v_Pvceni6W2d1hg,https://www.tiktok.com/@luckra,https://twitter.com/luckraok,https://open.spotify.com/artist/4kcQWQDK0u9AftVSpdrAgk,,https://www.facebook.com/LuckRaOficial/,,
luisa-sonza,LuÃ­sa Sonza,BR,https://www.instagram.com/luisasonza/,https://www.youtube.com/@LuisaSonza,www.tiktok.com/@luisasonza,https://twitter.com/luisasonza,https://open.spotify.com/artist/4PzYKhC14sTJNEr0dzoo0d,,https://www.facebook.com/LuisaSonza/,,
marisa-monte,Marisa Monte,BR,https://www.instagram.com/marisamonte/,https://www.youtube.com/channel/UC4EZ1VRVao2-bByh-x8O6PQ,https://www.tiktok.com/@marisamonte,https://twitter.com/marisamonte,https://open.spotify.com/artist/0rSTXALHu0EKAawPLBdODH,,https://www.facebook.com/marisamonteoficial,,
mon-laferte,Mon Laferte,CL,http://www.instagram.com/monlaferte,https://www.youtube.com/channel/UCn51E6eKnnLklWOcdFT3w5A,www.tiktok.com/@monlaferte,http://www.twitter.com/monlaferte,https://open.spotify.com/artist/4boI7bJtmB1L3b1cuL75Zr,https://itunes.apple.com/cl/artist/id447436990,http://www.facebook.com/monlaferte,,
natalia-lafourcade,Natalia Lafourcade,MX,https://www.instagram.com/natalialafourcade/,https://www.youtube.com/channel/UCKw8oP0rF37jTEq_3R8O5Mg,www.tiktok.com/@natalialafourcadeoficial,http://twitter.com/lafourcade,https://open.spotify.com/artist/1hcdI2N1023RvSwLzTtdsp,https://itunes.apple.com/artist/id14937569,https://www.facebook.com/people/Natalia-Lafourcade-Oficial/100043833654240/,,
nathy-peluso,Nathy Peluso,AR,https://www.instagram.com/nathypeluso/,https://www.youtube.com/channel/UCTjZWgoZjy-rn7nAjdtIdyQ,www.tiktok.com/@nathypeluso,https://twitter.com/nathypeluso,https://open.spotify.com/artist/3VHAySZQPlfGlNLslzXYpN,,https://www.facebook.com/nathy.peluso/,,
nicki-nicole,Nicki Nicole,AR,https://www.instagram.com/nicki.nicole,https://www.youtube.com/channel/UCEMoAW9Qk0HrZqLxV5BFhDw,www.tiktok.com/@nicki.nicole,https://twitter.com/Nicki_Nicole19,https://open.spotify.com/artist/2UZIAOlrnyZmyzt1nuXr9y,,https://www.facebook.com/naikinai19,,
prince-royce,Prince Royce,US,https://www.instagram.com/princeroyce/,https://www.youtube.com/channel/UCAMpOm4QAk15tLyjuBNtQyg,www.tiktok.com/@princeroyce,https://twitter.com/princeroyce,https://open.spotify.com/artist/3MHaV05u0io8fQbZ2XPtlC,https://itunes.apple.com/artist/id333299061,https://www.facebook.com/princeroyce,,
rauw-alejandro,Rauw Alejandro,PR,https://www.instagram.com/rauwalejandro,https://www.youtube.com/channel/UC_Av98lDjf5KvFib5elhpYg,www.tiktok.com/@rauwalejandro,https://twitter.com/rauwalejandro,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq,,https://www.facebook.com/rauwalejandro/,,
reik,Reik,MX,https://www.instagram.com/reikmx,https://www.youtube.com/@reik,https://www.tiktok.com/@reikmx,https://twitter.com/reikmx,https://open.spotify.com/artist/0vR2qb8m9WHeZ5ByCbimq2,,https://www.facebook.com/Reik,,
residente,Residente,PR,https://www.instagram.com/residente/,https://www.youtube.com/channel/UCzSz51ZH79cp5jvSkw_tJGA,www.tiktok.com/@residente,https://twitter.com/residente,https://open.spotify.com/artist/5GcWBUX00IPuWVGMIRK1sS,,https://www.facebook.com/residente/,,
ricky-martin,Ricky Martin,PR,https://www.instagram.com/ricky_martin/,https://www.youtube.com/channel/UCGkkG-VYVXenlhVIqjH-9oA,www.tiktok.com/@ricky__martin,https://twitter.com/ricky_martin,https://open.spotify.com/artist/7slfeZO9LsJbWgpkIoXBUJ,,https://www.facebook.com/RickyMartinOfficialPage,,
roberto-carlos,Roberto Carlos,BR,https://www.instagram.com/robertocarlosoficial/,https://www.youtube.com/channel/UCkgOVlkdnCiQ94trAJ0vxCw,https://open.spotify.com/artist/7fAKtXSdNInWAIf0jVUz65,https://twitter.com/robertocarlos,https://open.spotify.com/artist/7fAKtXSdNInWAIf0jVUz65,,https://www.facebook.com/RobertoCarlosOficial,,
romeo-santos,Romeo Santos,US,https://www.instagram.com/romeosantos/,https://www.youtube.com/channel/UCyxbZF7_PK4nLiexj0kkCNg,https://www.tiktok.com/@romeosantos,https://twitter.com/RomeoSantosPage,https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP,https://itunes.apple.com/artist/id434832774,https://www.facebook.com/RomeoSantosOfficial,,
rosalia,RosalÃ­a,ES,https://www.instagram.com/rosalia.vt/,https://www.youtube.com/channel/UCQt9awGIFZeldFsATZNeJag,www.tiktok.com/@rosalia,https://twitter.com/rosalia,https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1,,https://www.facebook.com/rosalia.vt/,,
shakira,Shakira,CO,https://www.instagram.com/shakira/,https://www.youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw,www.tiktok.com/@shakira,http://twitter.com/shakira,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,https://itunes.apple.com/artist/id889327,http://www.facebook.com/shakira,,
thalia,ThalÃ­a,MX,http://www.instagram.com/thalia,https://www.youtube.com/channel/UCgyFSSvdNv3MC_atQPqM_XA,https://www.tiktok.com/@thalia,http://www.twitter.com/thalia,https://open.spotify.com/artist/23wEWD21D4TPYiJugoXmYb,https://itunes.apple.com/mx/artist/id88612122,http://www.facebook.com/thalia,,
tiago-iorc,Tiago Iorc,BR,https://www.instagram.com/tiagoiorc/,https://www.youtube.com/channel/UC_aoNApcsdzwaWaQQS2spvg,https://www.tiktok.com/@tiagoiorc,https://twitter.com/tiagoiorc,https://open.spotify.com/artist/4iWkwAVzssjb8XgxdoOL6M,,https://www.facebook.com/iorcmusic,,
tini,TINI,AR,https://www.instagram.com/tinistoessel/,https://www.youtube.com/channel/UCJusEPcWIH9EyYSCqGP-1ew,www.tiktok.com/@tinistoessel,https://twitter.com/TiniStoessel,https://open.spotify.com/artist/7vXDAI8JwjW531ouMGbfcp,,https://www.facebook.com/TinitaStoesel/,,
trueno,Trueno,AR,https://www.instagram.com/trueno/,https://www.youtube.com/channel/UCR8xLrhLmZoMirYnjj4zEWg,www.tiktok.com/@trueno,https://twitter.com/TruenoOficiaI,https://open.spotify.com/artist/2x7PC78TmgqpEIjaGAZ0Oz,,https://www.facebook.com/TruenoOficiaI,,
vicente-fernandez,Vicente FernÃ¡ndez,MX,https://www.instagram.com/_vicentefdez/,https://www.youtube.com/channel/UCwPTC2n6D8asyi1G5uBZlpw,https://www.tiktok.com/@_vicentefdez,https://twitter.com/_vicentefdez,https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l, https://itunes.apple.com/mx/artist/id6742830, https://www.facebook.com/VicenteFernandezOficial/ ,,
